,Authors,Author(s) ID,Title,Affiliations,Authors with affiliations,Author Keywords
680,condon a.,55964623300;,The Odd Couple: Uniting Climate Change Mitigation and Sustainable Development under the Clean Development Mechanism,"University of Toronto, Faculty of Law, Canada","Condon, A., University of Toronto, Faculty of Law, Canada",clean development mechanism; institutions and development; law and development; path dependence; sustainable development
681,"stuart d., schewe r.l.",24176287300;55418916300;,Constrained Choice and Climate Change Mitigation in US Agriculture: Structural Barriers to a Climate Change Ethic,"Sustainable Communities Program and School of Earth Sciences and Environmental Sustainability, Northern Arizona University, 19 W. McConnell, PO Box 6039, Flagstaff, AZ  86011-6039, United States; Department of Sociology and Center for Policy and Research, Syracuse University, 426 Eggers Hall, Syracuse, NY  13244-1020, United States","Stuart, D., Sustainable Communities Program and School of Earth Sciences and Environmental Sustainability, Northern Arizona University, 19 W. McConnell, PO Box 6039, Flagstaff, AZ  86011-6039, United States; Schewe, R.L., Department of Sociology and Center for Policy and Research, Syracuse University, 426 Eggers Hall, Syracuse, NY  13244-1020, United States",consolidation; environment; ethics; fertilizer; seed corn
682,"howell r.a., capstick s., whitmarsh l.",36537038700;55882901400;24177490000;,Impacts of adaptation and responsibility framings on attitudes towards climate change mitigation,"Department of Geography and Earth Sciences, Aberystwyth University, Aberystwyth, SY23 3DB, United Kingdom; School of Psychology, Cardiff University, Cardiff, CF10 3AT, United Kingdom; School of Social and Political Science, The University of Edinburgh, Chrystal Macmillan Building, 15a George Square, Edinburgh, EH8 9LD, United Kingdom","Howell, R.A., Department of Geography and Earth Sciences, Aberystwyth University, Aberystwyth, SY23 3DB, United Kingdom, School of Social and Political Science, The University of Edinburgh, Chrystal Macmillan Building, 15a George Square, Edinburgh, EH8 9LD, United Kingdom; Capstick, S., School of Psychology, Cardiff University, Cardiff, CF10 3AT, United Kingdom; Whitmarsh, L., School of Psychology, Cardiff University, Cardiff, CF10 3AT, United Kingdom",
683,"das p., sarma k.p., jha p.k., ranjan r., herbert r., kumar m.",55626099900;36605139400;7102630219;57188956883;55549121200;55456390100;,Understanding the Cyclicity of Chemical Weathering and Associated CO2 Consumption in the Brahmaputra River Basin (India): The Role of Major Rivers in Climate Change Mitigation Perspective,"Department of Environmental Science, Tezpur University, Napaam, Assam  784028, India; Centre of Environmental Studies, University of Allahabad, Allahabad, Uttar Pradesh  211002, India; Kameng Hydroelectric Project, North Eastern Electric Power Corporation (NEEPCO), West Kameng, Arunachal Pradesh, India; Department of Earth Sciences, Uppsala University, Villavägen 16, Uppsala, 752 36, Sweden","Das, P., Department of Environmental Science, Tezpur University, Napaam, Assam  784028, India; Sarma, K.P., Department of Environmental Science, Tezpur University, Napaam, Assam  784028, India; Jha, P.K., Centre of Environmental Studies, University of Allahabad, Allahabad, Uttar Pradesh  211002, India; Ranjan, R., Kameng Hydroelectric Project, North Eastern Electric Power Corporation (NEEPCO), West Kameng, Arunachal Pradesh, India; Herbert, R., Department of Earth Sciences, Uppsala University, Villavägen 16, Uppsala, 752 36, Sweden; Kumar, M., Department of Environmental Science, Tezpur University, Napaam, Assam  784028, India",brahmaputra river; climate change; co2 consumption rate; water chemistry; weathering
684,"ranjan p., ranjan j.k., misra r.l., dutta m., singh b.",35222122300;35345512600;55779727200;55224337100;12795670800;,Cacti: notes on their uses and potential for climate change mitigation,"Indian Institute of Vegetable Research, Varanasi, India; AICRP on Floriculture, IARI, New Delhi, India; Germplasm Evaluation Division, NBPGR, New Delhi, India","Ranjan, P., Indian Institute of Vegetable Research, Varanasi, India; Ranjan, J.K., Indian Institute of Vegetable Research, Varanasi, India; Misra, R.L., AICRP on Floriculture, IARI, New Delhi, India; Dutta, M., Germplasm Evaluation Division, NBPGR, New Delhi, India; Singh, B., Indian Institute of Vegetable Research, Varanasi, India",cactus; climate change; morphological adaptation; physiological adaptation
685,"waddicor d.a., fuentes e., sisó l., salom j., favre b., jiménez c., azar m.",57189661149;8213009400;55906681100;55504227300;55006951000;56566061800;57197514993;,"Climate change and building ageing impact on building energy performance and mitigation measures application: A case study in Turin, northern Italy","Catalonia Institute for Energy Research, IREC, Barcelona, Spain; TBC Innovations SAS, Toulouse, France; EQUA Simulation AB, Sweden","Waddicor, D.A., Catalonia Institute for Energy Research, IREC, Barcelona, Spain; Fuentes, E., Catalonia Institute for Energy Research, IREC, Barcelona, Spain; Sisó, L., Catalonia Institute for Energy Research, IREC, Barcelona, Spain; Salom, J., Catalonia Institute for Energy Research, IREC, Barcelona, Spain; Favre, B., TBC Innovations SAS, Toulouse, France; Jiménez, C., TBC Innovations SAS, Toulouse, France; Azar, M., EQUA Simulation AB, Sweden",building ageing; building modelling; climate change; degradation; efficiency; energy performance; ida ice simulations; mitigation
686,bose p.s.,35621633000;,Vulnerabilities and displacements: Adaptation and mitigation to climate change as a new development mantra,"Department of Geography, University of Vermont, Burlington, VT  05405, United States","Bose, P.S., Department of Geography, University of Vermont, Burlington, VT  05405, United States",adaptation/mitigation; bangladesh; climate change; environmental displacement
687,"soimakallio s., saikku l., valsta l., pingoud k.",24823553700;15844188400;8398025600;6603853336;,Climate Change Mitigation Challenge for Wood Utilization-The Case of Finland,"Finnish Environment Institute, Helsinki, FI-00251, Finland; University of HelsinkiFI-00014, Finland; Kim Pingoud Consulting, Kylänlahdentie 11, Espoo, FI-02380, Finland","Soimakallio, S., Finnish Environment Institute, Helsinki, FI-00251, Finland, University of HelsinkiFI-00014, Finland; Saikku, L., Finnish Environment Institute, Helsinki, FI-00251, Finland; Valsta, L., University of HelsinkiFI-00014, Finland; Pingoud, K., Kim Pingoud Consulting, Kylänlahdentie 11, Espoo, FI-02380, Finland",
688,"barraza r., velazquez-angulo g., flores-tavizón e., romero-gonzález j., huertas-cardozo j.i.",57198241501;56002743100;23995094000;55619881700;7103267573;,The role of science in advising the decision making process: A pathway for building effective climate change mitigation policies in Mexico at the local level,"Instituto de Ingeniería y Tecnología, Universidad Autónoma de Ciudad Juárez (UACJ), Ciudad Juárez, Chihuahua  32330, Mexico; Centro de Investigación en Mecatrónica Automotriz (CIMA), Tecnológico de Monterrey Campus Toluca, Toluca, Estado de México  50110, Mexico","Barraza, R., Instituto de Ingeniería y Tecnología, Universidad Autónoma de Ciudad Juárez (UACJ), Ciudad Juárez, Chihuahua  32330, Mexico; Velazquez-Angulo, G., Instituto de Ingeniería y Tecnología, Universidad Autónoma de Ciudad Juárez (UACJ), Ciudad Juárez, Chihuahua  32330, Mexico; Flores-Tavizón, E., Instituto de Ingeniería y Tecnología, Universidad Autónoma de Ciudad Juárez (UACJ), Ciudad Juárez, Chihuahua  32330, Mexico; Romero-González, J., Instituto de Ingeniería y Tecnología, Universidad Autónoma de Ciudad Juárez (UACJ), Ciudad Juárez, Chihuahua  32330, Mexico; Huertas-Cardozo, J.I., Centro de Investigación en Mecatrónica Automotriz (CIMA), Tecnológico de Monterrey Campus Toluca, Toluca, Estado de México  50110, Mexico",climate change mitigation; climate change mitigation policies; science into policy; urban climate change
689,"gouldson a., colenbrander s., sudmant a., papargyropoulou e., kerr n., mcanulla f., hall s.",6602736479;56524622600;56540057500;55256230500;56573668500;56602963000;56818390400;,Cities and climate change mitigation: Economic opportunities and governance challenges in Asia,"ESRC Centre for Climate Change Economics and Policy, School of Earth and Environment, University of Leeds, United Kingdom; Malaysia-Japan International Institute of Technology, Universiti Teknologi Malaysia, Malaysia; School of Earth and Environment, University of Leeds, Woodhouse Lane, Leeds, LS2 9JT, United Kingdom","Gouldson, A., ESRC Centre for Climate Change Economics and Policy, School of Earth and Environment, University of Leeds, United Kingdom, School of Earth and Environment, University of Leeds, Woodhouse Lane, Leeds, LS2 9JT, United Kingdom; Colenbrander, S., ESRC Centre for Climate Change Economics and Policy, School of Earth and Environment, University of Leeds, United Kingdom; Sudmant, A., ESRC Centre for Climate Change Economics and Policy, School of Earth and Environment, University of Leeds, United Kingdom; Papargyropoulou, E., Malaysia-Japan International Institute of Technology, Universiti Teknologi Malaysia, Malaysia; Kerr, N., ESRC Centre for Climate Change Economics and Policy, School of Earth and Environment, University of Leeds, United Kingdom; McAnulla, F., ESRC Centre for Climate Change Economics and Policy, School of Earth and Environment, University of Leeds, United Kingdom; Hall, S., ESRC Centre for Climate Change Economics and Policy, School of Earth and Environment, University of Leeds, United Kingdom",asia; carbon; cities; climate; governance; mitigation
690,"chandra a., dargusch p., mcnamara k.e.",52663105600;23984742400;23493114000;,"How might adaptation to climate change by smallholder farming communities contribute to climate change mitigation outcomes? A case study from Timor-Leste, Southeast Asia","School of Geography, Planning and Environmental Management, The University of Queensland, St Lucia Campus, Brisbane, QLD  4072, Australia","Chandra, A., School of Geography, Planning and Environmental Management, The University of Queensland, St Lucia Campus, Brisbane, QLD  4072, Australia; Dargusch, P., School of Geography, Planning and Environmental Management, The University of Queensland, St Lucia Campus, Brisbane, QLD  4072, Australia; McNamara, K.E., School of Geography, Planning and Environmental Management, The University of Queensland, St Lucia Campus, Brisbane, QLD  4072, Australia",agriculture; community-based adaptation; integrated; mitigation; smallholder; synergies; timor-leste
691,knauf m.,56454196000;,The wood market balance as a tool for calculating wood use's climate change mitigation effect - An example for Germany,"Dorotheenstraße 7, Bielefeld, D-33615, Germany","Knauf, M., Dorotheenstraße 7, Bielefeld, D-33615, Germany",climate change mitigation; substitution; wood carbon balance; wood market balance; wood products pools; wood use
692,"karkatsoulis p., capros p., fragkos p., paroussos l., tsani s.",57000472400;7003784477;55549666800;55224594700;57220312140;,First-mover advantages of the European Union's climate change mitigation strategy,"E3M Lab, Department of Electrical and Computer Engineering, National Technical University of Athens, 9 Iroon Politechniou Street, Zografou Campus, Athens, 15 773, Greece","Karkatsoulis, P., E3M Lab, Department of Electrical and Computer Engineering, National Technical University of Athens, 9 Iroon Politechniou Street, Zografou Campus, Athens, 15 773, Greece; Capros, P., E3M Lab, Department of Electrical and Computer Engineering, National Technical University of Athens, 9 Iroon Politechniou Street, Zografou Campus, Athens, 15 773, Greece; Fragkos, P., E3M Lab, Department of Electrical and Computer Engineering, National Technical University of Athens, 9 Iroon Politechniou Street, Zografou Campus, Athens, 15 773, Greece; Paroussos, L., E3M Lab, Department of Electrical and Computer Engineering, National Technical University of Athens, 9 Iroon Politechniou Street, Zografou Campus, Athens, 15 773, Greece; Tsani, S., E3M Lab, Department of Electrical and Computer Engineering, National Technical University of Athens, 9 Iroon Politechniou Street, Zografou Campus, Athens, 15 773, Greece",climate change mitigation; computable general equilibrium modelling; economic growth induced by technology progress; macroeconomic assessment of clean energy technologies
693,"hagen b., middel a., pijawka d.",54992041600;36170518700;6603693319;,European Climate Change Perceptions: Public support for mitigation and adaptation policies,"School of Geographical Sciences & Urban Planning, Arizona State University, United States","Hagen, B., School of Geographical Sciences & Urban Planning, Arizona State University, United States; Middel, A., School of Geographical Sciences & Urban Planning, Arizona State University, United States; Pijawka, D., School of Geographical Sciences & Urban Planning, Arizona State University, United States",climate change; communication; county comparison; environmental policy; europe; public perceptions
694,"bauer n., mouratiadou i., luderer g., baumstark l., brecha r.j., edenhofer o., kriegler e.",23466205000;16064663700;15069126500;35098318800;6602485706;55868364000;55881072300;,Global fossil energy markets and climate change mitigation – an analysis with REMIND,"Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany; Department of Physics, University of Dayton, Dayton, OH  45469, United States","Bauer, N., Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany; Mouratiadou, I., Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany; Luderer, G., Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany; Baumstark, L., Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany; Brecha, R.J., Department of Physics, University of Dayton, Dayton, OH  45469, United States; Edenhofer, O., Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany; Kriegler, E., Potsdam Institute for Climate Impact Research, PO Box 601203, Potsdam, 14412, Germany",
695,"barbi f., ferreira l.d.c., guo s.",44460990700;57216345068;16177637000;,Climate change challenges and China’s response: mitigation and governance,"University of Campinas, Campinas, SP, Brazil; San Francisco State University, San Francisco, CA, United States","Barbi, F., University of Campinas, Campinas, SP, Brazil; Ferreira, L.D.C., University of Campinas, Campinas, SP, Brazil; Guo, S., San Francisco State University, San Francisco, CA, United States",china; climate governance; climate policy; mitigation
696,"kerimray a., baigarin k., de miglio r., tosato g.",55743978300;6506741715;35519375700;7006521183;,Climate change mitigation scenarios and policies and measures: the case of Kazakhstan,"Nazarbayev University Research and Innovation System, 53 Kabanbay Batyr Avenue, Astana, Kazakhstan; E4SMA, Via Livorno 60 – Environment Park I-10144, Turin, Italy; ASATREM, Via Colli Farnesina 144, Rome, I-00194, Italy","Kerimray, A., Nazarbayev University Research and Innovation System, 53 Kabanbay Batyr Avenue, Astana, Kazakhstan; Baigarin, K., Nazarbayev University Research and Innovation System, 53 Kabanbay Batyr Avenue, Astana, Kazakhstan; De Miglio, R., E4SMA, Via Livorno 60 – Environment Park I-10144, Turin, Italy; Tosato, G., ASATREM, Via Colli Farnesina 144, Rome, I-00194, Italy",bottom-up approaches; climate change policies; emission projections; emissions scenarios; energy models; optimal emissions path
697,"he j., chen w., wang z., liu p., wen z., xiao x., wang c., chao q., zou j., gu a.",7404984532;55808020800;57214832851;27168344500;7201724187;57212301485;57212301747;6701744045;57212299971;36547955800;,Climate change mitigation in China,"Institute of Energy Environment and Economy, Tsinghua University, Beijing, 100084, China; Energy Research Institute, National Development and Reform Commission, Beijing, 100038, China; Department of Thermal Engineering, Tsinghua University, Beijing, 100084, China; School of Environment, Tsinghua University, Beijing, 100084, China; Foreign Economic Cooperation Office, Ministry of Environmental Protection, Beijing, 100035, China; Department of International Cooperation, State Forestry Administration, Beijing, 100714, China; National Climate Center, China Meteorological Administration, Beijing, 100081, China; National Center for Climate Change Strategy and International Cooperation, Beijing, 100038, China","He, J., Institute of Energy Environment and Economy, Tsinghua University, Beijing, 100084, China; Chen, W., Institute of Energy Environment and Economy, Tsinghua University, Beijing, 100084, China; Wang, Z., Energy Research Institute, National Development and Reform Commission, Beijing, 100038, China; Liu, P., Department of Thermal Engineering, Tsinghua University, Beijing, 100084, China; Wen, Z., School of Environment, Tsinghua University, Beijing, 100084, China; Xiao, X., Foreign Economic Cooperation Office, Ministry of Environmental Protection, Beijing, 100035, China; Wang, C., Department of International Cooperation, State Forestry Administration, Beijing, 100714, China; Chao, Q., National Climate Center, China Meteorological Administration, Beijing, 100081, China; Zou, J., National Center for Climate Change Strategy and International Cooperation, Beijing, 100038, China; Gu, A., Institute of Energy Environment and Economy, Tsinghua University, Beijing, 100084, China",carbon emission peak; climate change; mitigation; mitigation potential
698,"spyridaki n.-a., ioannou a., flamos a.",49964640700;56013398100;6507007775;,How can the context affect policy decision-making: The Case of Climate Change Mitigation Policies in the Greek Building Sector,"Department of Industrial Management and Technology, University of Piraeus, Karaoli and Dimitriou 80, Piraeus, 18534, Greece","Spyridaki, N.-A., Department of Industrial Management and Technology, University of Piraeus, Karaoli and Dimitriou 80, Piraeus, 18534, Greece; Ioannou, A., Department of Industrial Management and Technology, University of Piraeus, Karaoli and Dimitriou 80, Piraeus, 18534, Greece; Flamos, A., Department of Industrial Management and Technology, University of Piraeus, Karaoli and Dimitriou 80, Piraeus, 18534, Greece",building sector; cluster analysis; contextual factors; energy efficiency policy instruments; policy instrument change
699,dowell n.m.,35775476400;,Can CO2 utilisation play a role in climate change mitigation?,"Energy and Environmental Technology and Policy, Imperial College London, United Kingdom","Dowell, N.M., Energy and Environmental Technology and Policy, Imperial College London, United Kingdom",
700,hermans m.,57162620000;,"Geography teachers and climate change: Emotions about consequences, coping strategies, and views on mitigation","Åbo Akademi University, Vaasa, Finland","Hermans, M., Åbo Akademi University, Vaasa, Finland",climate change education; global warming; in-service teachers; secondary school
701,"lobianco a., caurla s., delacote p., barkaoui a.",35746394100;37032651800;16052276000;6506690079;,Carbon mitigation potential of the French forest sector under threat of combined physical and market impacts due to climate change,"AgroParisTech, ENGREF, Laboratoire d'Économie Forestière, Nancy, 54000, France; INRA, UMR 356, Laboratoire d'Économie Forestière, Nancy, 54000, France; Chaire d'Économie du Climat, Paris, France","Lobianco, A., AgroParisTech, ENGREF, Laboratoire d'Économie Forestière, Nancy, 54000, France; Caurla, S., INRA, UMR 356, Laboratoire d'Économie Forestière, Nancy, 54000, France; Delacote, P., INRA, UMR 356, Laboratoire d'Économie Forestière, Nancy, 54000, France, Chaire d'Économie du Climat, Paris, France; Barkaoui, A., INRA, UMR 356, Laboratoire d'Économie Forestière, Nancy, 54000, France",bio-economic model; carbon balance; climate change; forest sector
702,"powlson d.s., stirling c.m., thierfelder c., white r.p., jat m.l.",7004761224;7101990125;8516220100;57202295799;6602564835;,Does conservation agriculture deliver climate change mitigation through soil carbon sequestration in tropical agro-ecosystems?,"Department of Sustainable Soils and Grassland Systems, Rothamsted Research, Harpenden, AL5 2JQ, United Kingdom; International Maize and Wheat Improvement Center (CIMMYT), Conservation Agriculture Program, Apdo, Postal 6-641, Mexico, Distrito Federal, 06600, Mexico; International Maize and Wheat Improvement Center (CIMMYT) Zimbabwe, P.O. Box MP 163, Mount Pleasant, Harare, Zimbabwe; Department of Computational and Systems Biology, Rothamsted Research, Harpenden, AL5 2JQ, United Kingdom; International Maize and Wheat Improvement Center (CIMMYT), India Office, National Agricultural Science Centre Complex, Dev Prakash Shastri Marg, Pusa Campus, New Delhi, 110012, India","Powlson, D.S., Department of Sustainable Soils and Grassland Systems, Rothamsted Research, Harpenden, AL5 2JQ, United Kingdom; Stirling, C.M., International Maize and Wheat Improvement Center (CIMMYT), Conservation Agriculture Program, Apdo, Postal 6-641, Mexico, Distrito Federal, 06600, Mexico; Thierfelder, C., International Maize and Wheat Improvement Center (CIMMYT) Zimbabwe, P.O. Box MP 163, Mount Pleasant, Harare, Zimbabwe; White, R.P., Department of Computational and Systems Biology, Rothamsted Research, Harpenden, AL5 2JQ, United Kingdom; Jat, M.L., International Maize and Wheat Improvement Center (CIMMYT), India Office, National Agricultural Science Centre Complex, Dev Prakash Shastri Marg, Pusa Campus, New Delhi, 110012, India",carbon sequestration; climate change mitigation; conservation agriculture; crop diversification; crop residues; nitrogen; soil organic carbon; tropical; zero-tillage
703,"mohammadi a., cowie a., anh mai t.l., de la rosa r.a., kristiansen p., brandão m., joseph s.",51663886900;8258491400;57041304500;57040844400;23097563600;14831117500;23035174700;,Biochar use for climate-change mitigation in rice cropping systems,"School of Environmental and Rural Science, University of New England, Armidale, NSW  2351, Australia; NSW Department of Primary Industries, Beef Industry Centre, Trevenna Rd., Armidale, NSW  2351, Australia; Thai Nguyen University of Sciences, Thai Nguyen University, Thai, Nguyen Province, Viet Nam; Division of Industrial Ecology, Department of Sustainable Development, Environmental Science and Engineering (SEED), School of Architecture and the Built Environment (ABE), KTH - Royal Institute of Technology, Stockholm, Sweden; Discipline of Chemistry, University of Newcastle, Callaghan, NSW  2308, Australia; School of Materials Science and Engineering, University of New South Wales, Sydney, NSW  2052, Australia","Mohammadi, A., School of Environmental and Rural Science, University of New England, Armidale, NSW  2351, Australia; Cowie, A., School of Environmental and Rural Science, University of New England, Armidale, NSW  2351, Australia, NSW Department of Primary Industries, Beef Industry Centre, Trevenna Rd., Armidale, NSW  2351, Australia; Anh Mai, T.L., Thai Nguyen University of Sciences, Thai Nguyen University, Thai, Nguyen Province, Viet Nam; De La Rosa, R.A., School of Environmental and Rural Science, University of New England, Armidale, NSW  2351, Australia; Kristiansen, P., School of Environmental and Rural Science, University of New England, Armidale, NSW  2351, Australia; Brandão, M., Division of Industrial Ecology, Department of Sustainable Development, Environmental Science and Engineering (SEED), School of Architecture and the Built Environment (ABE), KTH - Royal Institute of Technology, Stockholm, Sweden; Joseph, S., School of Environmental and Rural Science, University of New England, Armidale, NSW  2351, Australia, Discipline of Chemistry, University of Newcastle, Callaghan, NSW  2308, Australia, School of Materials Science and Engineering, University of New South Wales, Sydney, NSW  2052, Australia",carbon footprint; life cycle assessment; methane emissions; pyrolytic cook-stove; rice residues
704,"baležentis t., li t., streimikiene d., baležentis a.",37062856100;57043728500;57195415199;57050431700;,Is the Lithuanian economy approaching the goals of sustainable energy and climate change mitigation? Evidence from DEA-based environmental performance index,"Lithuanian Institute of Agrarian Economics, V. Kudirkos Str. 18-2, Vilnius, LT-03105, Lithuania; College of Economics and Management, Nanjing Agricultural University, Weigang No. 1, Nanjing, 210095, China; Mykolas Romeris University, Ateities 20, Vilnius, LT-08303, Lithuania; Mykolas Romeris University, Valakupiu Str. 5, Vilnius, LT-10101, Lithuania","Baležentis, T., Lithuanian Institute of Agrarian Economics, V. Kudirkos Str. 18-2, Vilnius, LT-03105, Lithuania; Li, T., College of Economics and Management, Nanjing Agricultural University, Weigang No. 1, Nanjing, 210095, China; Streimikiene, D., Mykolas Romeris University, Ateities 20, Vilnius, LT-08303, Lithuania; Baležentis, A., Mykolas Romeris University, Valakupiu Str. 5, Vilnius, LT-10101, Lithuania",data envelopment analysis; economic sectors; environmental performance index; lithuania
705,"araya m.m., hofstad o.",56473396700;6603231369;,Monetary incentives to avoid deforestation under the Reducing emissions from deforestation and degradation (REDD)+ climate change mitigation scheme in Tanzania,"Department of Ecology and Natural Resource Management, Norwegian University of Life Sciences (NMBU), P.O. Box 5003, Ås, 1432, Norway","Araya, M.M., Department of Ecology and Natural Resource Management, Norwegian University of Life Sciences (NMBU), P.O. Box 5003, Ås, 1432, Norway; Hofstad, O., Department of Ecology and Natural Resource Management, Norwegian University of Life Sciences (NMBU), P.O. Box 5003, Ås, 1432, Norway",agricultural rent; forest rent; miombo woodland; montane forest; opportunity cost; redd+; sustainable harvest
706,"alberti l., cantone m., colombo l., oberto g., la licata i.",35104303600;55923013600;55745661100;56038876900;35105203200;,Assessment of aquifers groundwater storage for the mitigation of climate change effects,"Dipartimento di Ingegneria Civile e Ambientale, Politecnico di Milano, Piazza Leonardo da Vinci, 32, Milan, 20133, Italy; Hydroinformatics Lab, Politecnico di Milano, Polo Territoriale di Como, via Valleggio, 11, Como, 22100, Italy","Alberti, L., Dipartimento di Ingegneria Civile e Ambientale, Politecnico di Milano, Piazza Leonardo da Vinci, 32, Milan, 20133, Italy; Cantone, M., Dipartimento di Ingegneria Civile e Ambientale, Politecnico di Milano, Piazza Leonardo da Vinci, 32, Milan, 20133, Italy; Colombo, L., Dipartimento di Ingegneria Civile e Ambientale, Politecnico di Milano, Piazza Leonardo da Vinci, 32, Milan, 20133, Italy; Oberto, G., Hydroinformatics Lab, Politecnico di Milano, Polo Territoriale di Como, via Valleggio, 11, Como, 22100, Italy; La Licata, I., Dipartimento di Ingegneria Civile e Ambientale, Politecnico di Milano, Piazza Leonardo da Vinci, 32, Milan, 20133, Italy",climate change mitigations; modflow; transient model; winter irrigation
707,andreopoulou z.,57219702893;,Green ICTs for climate change mitigation and energy sustainability: EU challenge,"Aristotle University of Thessaloniki, Thessaloniki, Greece","Andreopoulou, Z., Aristotle University of Thessaloniki, Thessaloniki, Greece",climate change; energy sustainability; eu; green energy; green ict; sustainable development
708,"kannan r., turton h.",7102561463;14064155300;,Long term climate change mitigation goals under the nuclear phase out policy: The Swiss energy system transition,"Energy Economics Group, Laboratory for Energy Systems Analysis, Paul Scherrer Institut, Villigen PSI, 5232, Switzerland","Kannan, R., Energy Economics Group, Laboratory for Energy Systems Analysis, Paul Scherrer Institut, Villigen PSI, 5232, Switzerland; Turton, H., Energy Economics Group, Laboratory for Energy Systems Analysis, Paul Scherrer Institut, Villigen PSI, 5232, Switzerland",energy system analysis; energy systems model; low carbon scenarios; nuclear phaseout
709,uehleke r.,57148533000;,The role of question format for the support for national climate change mitigation policies in Germany and the determinants of WTP,"Department of Business Administration, Leipzig University of Applied Sciences, P.O. 301166, Leipzig, 04251, Germany","Uehleke, R., Department of Business Administration, Leipzig University of Applied Sciences, P.O. 301166, Leipzig, 04251, Germany",climate change; contingent valuation; mitigation policy; willingness to pay
710,"niles m.t., brown m., dynes r.",55178137700;55487976300;7005881318;,Farmer’s intended and actual adoption of climate change mitigation and adaptation strategies,"Department of Nutrition and Food Sciences and Food Systems Initiative, University of Vermont, 109 Carrigan Drive, 350 Marsh Life Sciences Building, Burlington, VT  05405, United States; Sustainability Science Program, Kennedy School of Government, Harvard University, 79 JFK Street, Mailbox 81, Cambridge, MA  02138, United States; Grasslands Research Centre, Private Bag AgResearch Ltd., Private Bag 11008, Palmerston North, 4442, New Zealand; Lincoln Research Centre, AgResearch Ltd., Lincoln, New Zealand","Niles, M.T., Department of Nutrition and Food Sciences and Food Systems Initiative, University of Vermont, 109 Carrigan Drive, 350 Marsh Life Sciences Building, Burlington, VT  05405, United States, Sustainability Science Program, Kennedy School of Government, Harvard University, 79 JFK Street, Mailbox 81, Cambridge, MA  02138, United States; Brown, M., Grasslands Research Centre, Private Bag AgResearch Ltd., Private Bag 11008, Palmerston North, 4442, New Zealand; Dynes, R., Lincoln Research Centre, AgResearch Ltd., Lincoln, New Zealand",
711,"matthies b.d., valsta l.t.",56289636200;8398025600;,Optimal forest species mixture with carbon storage and albedo effect for climate change mitigation,"University of Helsinki, Department of Forest Sciences, P.O. Box 27, (Latokartanonkaari 7), Helsinki, FI-00014, Finland","Matthies, B.D., University of Helsinki, Department of Forest Sciences, P.O. Box 27, (Latokartanonkaari 7), Helsinki, FI-00014, Finland; Valsta, L.T., University of Helsinki, Department of Forest Sciences, P.O. Box 27, (Latokartanonkaari 7), Helsinki, FI-00014, Finland",albedo; carbon storage; climate change; economic optimization; mixed forest; optimum rotation and thinning
712,"gillard r., gouldson a., paavola j., van alstine j.",57086133800;6602736479;7004107473;26535122900;,Transformational responses to climate change: Beyond a systems perspective of social change in mitigation and adaptation,"School of Earth and Environment, Sustainability Research Institute, University of Leeds, Leeds, United Kingdom","Gillard, R., School of Earth and Environment, Sustainability Research Institute, University of Leeds, Leeds, United Kingdom; Gouldson, A., School of Earth and Environment, Sustainability Research Institute, University of Leeds, Leeds, United Kingdom; Paavola, J., School of Earth and Environment, Sustainability Research Institute, University of Leeds, Leeds, United Kingdom; Van Alstine, J., School of Earth and Environment, Sustainability Research Institute, University of Leeds, Leeds, United Kingdom",
713,"melillo j.m., lu x., kicklighter d.w., reilly j.m., cai y., sokolov a.p.",7004628271;55957596200;6603810350;7402155795;55133765700;7402612084;,Protected areas’ role in climate-change mitigation,"The Ecosystems Center, Marine Biological Laboratory, 7 MBL St., Woods Hole, MA  02543, United States; Joint Program on the Science and Policy of Global Change, Massachusetts Institute of Technology, 77 Massachusetts Avenue, MIT E19-411, Cambridge, MA  02139-4307, United States; Agricultural, Resource and Energy Economics and Policy Program, Social, Statistical, and Environmental Sciences, RTI International, 3040 Cornwallis Road, P. O. Box 12194, Research Triangle Park, NC  27709-2194, United States","Melillo, J.M., The Ecosystems Center, Marine Biological Laboratory, 7 MBL St., Woods Hole, MA  02543, United States; Lu, X., The Ecosystems Center, Marine Biological Laboratory, 7 MBL St., Woods Hole, MA  02543, United States; Kicklighter, D.W., The Ecosystems Center, Marine Biological Laboratory, 7 MBL St., Woods Hole, MA  02543, United States; Reilly, J.M., Joint Program on the Science and Policy of Global Change, Massachusetts Institute of Technology, 77 Massachusetts Avenue, MIT E19-411, Cambridge, MA  02139-4307, United States; Cai, Y., Agricultural, Resource and Energy Economics and Policy Program, Social, Statistical, and Environmental Sciences, RTI International, 3040 Cornwallis Road, P. O. Box 12194, Research Triangle Park, NC  27709-2194, United States; Sokolov, A.P., Joint Program on the Science and Policy of Global Change, Massachusetts Institute of Technology, 77 Massachusetts Avenue, MIT E19-411, Cambridge, MA  02139-4307, United States",carbon sequestration; climate change; global carbon cycle; mitigation; protected areas
